study_accession	study_title	study_type	design_description	library_selection	library_layout	library_construction_protocol	instrument_model	platform_parameters	sample	run	updated_date	class/strategy	Plant Age	Plant Material	Development stage of tissue(if given)	line/Cultivar	genetic information/line	Mutant/WT	Treatment	Experiment keywords	Otherinfo about sample	Abstract	Submission center	Lab/PI	Submission date
ERP011069	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	Transcriptome ANAlysis	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	PCR	PAIRED - 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS300574	SRR445636	11/7/16	RNA-Seq	reproductive	shoot	NA	NC358	inbred	WT	NA	copy number variant plasticity	NA	"Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordiNAry phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the ""Zeanome"", a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data."	Iowa State University	SchNAble Lab	3/14/12
ERP011069	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	Transcriptome ANAlysis	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	PCR	PAIRED - 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS300574	SRR445637	11/7/16	RNA-Seq	reproductive	tassel	NA	NC358	inbred	WT	NA	copy number variant plasticity	NA	"Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordiNAry phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the ""Zeanome"", a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data."	Iowa State University	SchNAble Lab	3/14/12
ERP011069	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	Transcriptome ANAlysis	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	PCR	PAIRED - 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS300561	SRR445462	11/7/16	RNA-Seq	reproductive	tassel	NA	Ky21	inbred	WT	NA	copy number variant plasticity	NA	"Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordiNAry phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the ""Zeanome"", a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data."	Iowa State University	SchNAble Lab	3/14/12
ERP011069	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	Transcriptome ANAlysis	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	PCR	PAIRED - 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS300579	SRR445656	11/7/16	RNA-Seq	reproductive	shoot	NA	Tzi8	inbred	WT	NA	copy number variant plasticity	NA	"Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordiNAry phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the ""Zeanome"", a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data."	Iowa State University	SchNAble Lab	3/14/12
ERP011069	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	Transcriptome ANAlysis	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	PCR	PAIRED - 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS300544	SRR445399	11/7/16	RNA-Seq	reproductive	shoot	NA	CML247	inbred	WT	NA	copy number variant plasticity	NA	"Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordiNAry phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the ""Zeanome"", a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data."	Iowa State University	SchNAble Lab	3/14/12
ERP011069	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	Transcriptome ANAlysis	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	PCR	PAIRED - 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS300573	SRR445626	11/7/16	RNA-Seq	reproductive	ear	NA	NC350	inbred	WT	NA	copy number variant plasticity	NA	"Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordiNAry phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the ""Zeanome"", a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data."	Iowa State University	SchNAble Lab	3/14/12
ERP011069	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	Transcriptome ANAlysis	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	PCR	PAIRED - 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS300550	SRR445415	11/7/16	RNA-Seq	reproductive	tassel	NA	CML52	inbred	WT	NA	copy number variant plasticity	NA	"Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordiNAry phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the ""Zeanome"", a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data."	Iowa State University	SchNAble Lab	3/14/12
ERP011069	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	Transcriptome ANAlysis	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	PCR	PAIRED - 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS300572	SRR445623	11/7/16	RNA-Seq	reproductive	fieldear	NA	Ms71	inbred	WT	NA	copy number variant plasticity	NA	"Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordiNAry phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the ""Zeanome"", a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data."	Iowa State University	SchNAble Lab	3/14/12
ERP011069	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	Transcriptome ANAlysis	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	PCR	PAIRED - 	NA	IllumiNA Genome ANAlyzer IIx	INSTRUMENT_MODEL: IllumiNA Genome ANAlyzer IIx	SRS300533	SRR445385	11/7/16	RNA-Seq	reproductive	root	NA	B97	inbred	WT	NA	copy number variant plasticity	NA	"Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordiNAry phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the ""Zeanome"", a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data."	Iowa State University	SchNAble Lab	3/14/12
ERP011069	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	Transcriptome ANAlysis	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	PCR	PAIRED - 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS300556	SRR445422	11/7/16	RNA-Seq	reproductive	shoot	NA	Hp301	inbred	WT	NA	copy number variant plasticity	NA	"Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordiNAry phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the ""Zeanome"", a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data."	Iowa State University	SchNAble Lab	3/14/12
ERP011069	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	Transcriptome ANAlysis	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	PCR	PAIRED - 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS300533	SRR445386	11/7/16	RNA-Seq	reproductive	shoot	NA	B97	inbred	WT	NA	copy number variant plasticity	NA	"Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordiNAry phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the ""Zeanome"", a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data."	Iowa State University	SchNAble Lab	3/14/12
ERP011069	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	Transcriptome ANAlysis	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	PCR	PAIRED - 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS300559	SRR445440	11/7/16	RNA-Seq	reproductive	tassel	NA	Ki3	inbred	WT	NA	copy number variant plasticity	NA	"Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordiNAry phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the ""Zeanome"", a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data."	Iowa State University	SchNAble Lab	3/14/12
ERP011069	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	Transcriptome ANAlysis	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	PCR	PAIRED - 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS300550	SRR445414	11/7/16	RNA-Seq	reproductive	shoot	NA	CML52	inbred	WT	NA	copy number variant plasticity	NA	"Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordiNAry phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the ""Zeanome"", a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data."	Iowa State University	SchNAble Lab	3/14/12
ERP011069	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	Transcriptome ANAlysis	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	PCR	PAIRED - 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS300570	SRR445619	11/7/16	RNA-Seq	reproductive	ear	NA	Mo18W	inbred	WT	NA	copy number variant plasticity	NA	"Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordiNAry phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the ""Zeanome"", a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data."	Iowa State University	SchNAble Lab	3/14/12
ERP011069	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	Transcriptome ANAlysis	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	PCR	PAIRED - 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS300572	SRR445625	11/7/16	RNA-Seq	reproductive	shoot	NA	Ms71	inbred	WT	NA	copy number variant plasticity	NA	"Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordiNAry phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the ""Zeanome"", a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data."	Iowa State University	SchNAble Lab	3/14/12
ERP011069	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	Transcriptome ANAlysis	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	size fractioNAtion	PAIRED - NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS1143323	SRR2886960	11/5/15	RNA-Seq	vegetative	leaf	V3	A188	inbred	WT	wound+M. separata Oral secretion	biotic stress MythimNA separata mechanical wounding	NA	transcriptome aNAlysis of maize leaves response to mechanical wounding and simulated herbivory of MythimNA separata	"The Research Institute of Forestry, Chinese Academy of Forestry"	State Key Laboratory of Tree Genetics and Breeding	NA
ERP011069	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	Transcriptome ANAlysis	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	PCR	PAIRED - 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS300543	SRR445395	11/7/16	RNA-Seq	reproductive	tassel	NA	CML228	inbred	WT	NA	copy number variant plasticity	NA	"Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordiNAry phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the ""Zeanome"", a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data."	Iowa State University	SchNAble Lab	3/14/12
ERP011069	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	Transcriptome ANAlysis	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	PCR	PAIRED - 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS300557	SRR445427	11/7/16	RNA-Seq	reproductive	tassel	NA	IL14H	inbred	WT	NA	copy number variant plasticity	NA	"Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordiNAry phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the ""Zeanome"", a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data."	Iowa State University	SchNAble Lab	3/14/12
ERP011069	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	Transcriptome ANAlysis	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	size fractioNAtion	PAIRED - NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS1143315	SRR2886943	11/5/15	RNA-Seq	vegetative	leaf	V3	A188	inbred	WT	control	biotic stress MythimNA separata mechanical wounding	NA	transcriptome aNAlysis of maize leaves response to mechanical wounding and simulated herbivory of MythimNA separata	"The Research Institute of Forestry, Chinese Academy of Forestry"	State Key Laboratory of Tree Genetics and Breeding	NA
ERP011069	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	Transcriptome ANAlysis	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	PCR	PAIRED - 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS300548	SRR445405	11/7/16	RNA-Seq	reproductive	root	NA	CML322	inbred	WT	NA	copy number variant plasticity	NA	"Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordiNAry phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the ""Zeanome"", a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data."	Iowa State University	SchNAble Lab	3/14/12
ERP011069	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	Transcriptome ANAlysis	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	PCR	PAIRED - 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS300549	SRR445411	11/7/16	RNA-Seq	reproductive	tassel	NA	CML333	inbred	WT	NA	copy number variant plasticity	NA	"Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordiNAry phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the ""Zeanome"", a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data."	Iowa State University	SchNAble Lab	3/14/12
ERP011069	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	Transcriptome ANAlysis	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	PCR	PAIRED - 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS300564	SRR445530	11/7/16	RNA-Seq	reproductive	ear	NA	M162W	inbred	WT	NA	copy number variant plasticity	NA	"Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordiNAry phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the ""Zeanome"", a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data."	Iowa State University	SchNAble Lab	3/14/12
ERP011069	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	Transcriptome ANAlysis	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	RANDOM PCR	PAIRED - NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS986292	SRR2094571	7/11/15	RNA-Seq	14D	leaf	NA	teosinte		WT	NA	copy number variant plasticity	NA	"Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordiNAry phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the ""Zeanome"", a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data."	Iowa State University	SchNAble Lab	3/16/12
ERP011069	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	Transcriptome ANAlysis	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	PCR	PAIRED - 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS300561	SRR445448	11/7/16	RNA-Seq	reproductive	ear	NA	Ky21	inbred	WT	NA	copy number variant plasticity	NA	"Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordiNAry phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the ""Zeanome"", a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data."	Iowa State University	SchNAble Lab	3/14/12
ERP011069	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	Transcriptome ANAlysis	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	PCR	PAIRED - 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS300561	SRR445457	11/7/16	RNA-Seq	reproductive	shoot	NA	Ky21	inbred	WT	NA	copy number variant plasticity	NA	"Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordiNAry phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the ""Zeanome"", a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data."	Iowa State University	SchNAble Lab	3/14/12
ERP011069	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	Transcriptome ANAlysis	Transcriptome aNAlysis of 103 RILs of a B73 x H99 RIL population	PCR	PAIRED - 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS300550	SRR445413	11/7/16	RNA-Seq	reproductive	root	NA	CML52	inbred	WT	NA	copy number variant plasticity	NA	"Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordiNAry phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the ""Zeanome"", a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data."	Iowa State University	SchNAble Lab	3/14/12
